Название вакансии	Название компании	Город	Зарплата	Опыт работы	Описание	Требования	Тип занятости	Ключевые навыки	Источник
Data Engineer в Рекламные технологии	VK	Москва	Договорная	1–3 года	Команда DWH агрегирует в себе накопленную экспертизу и лучшие практики холдинга в области построения хранилищ данных и аналитических приложений. Мы превращаем информационный хаос в четко организованную систему, которая позволяет собирать, обрабатывать и анализировать любые объёмы данных. В нашей команде убеждены, что системы хранилищ данных должны максимально помогать людям — автоматизировать рутинные задачи, собирать и анализировать сырые данные, подготавливать почву для удобного и аргументированного принятия решений. Мы ищем BigData-инженера, готового принять активное участие в разработке одного из крупнейших хранилищ группы компании: десятки петабайт данных, количество узлов кластера более 400, ежедневный прирост информации составляет десятки терабайт. В хранилище собрана информация большинства ключевых бизнес-юнитов компании, которая описывает поведение пользователей рунета: события посещений сайтов, клики/показы рекламы, использование мобильных приложений, профили соцсетей пользователя, действия пользователей в соцсетях и их публичные сообщения и т.д. Все это позволяет составить достаточно полную картину поведения пользователя во всех сервисах Mail.ru и строить на полученных данных сложные математические модели. Наш стек технологий включает, но не ограничивается:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/115357772
Data Science	СБЕР	Москва	Договорная	3–6 лет	"Дорогой кандидат, мы - динамично растущая команда экспертов в области построения рекомендательных систем. Наша главная цель - построить современную, масштабируемую платформу, которая будет постоянно предвосхищать и превосходить ожидания пользователей, предоставляя им персонализированный и релевантный контент на всем клиентском пути в экосистеме Сбер. Наша платформа будет обслуживать широкий круг потребителей и строить персональные рекомендации во всех сферах бизнеса, таких как музыка, фильмы, онлайн торговля, медицина, логистика и многих других, которые присутствуют в быстро растущей экосистеме. Если ты мечтаешь поучаствовать в создании такой рекомендательной системы, то тебе к нам! Наша платформа будет обслуживать широкий круг потребителей и строить персональные рекомендации во всех сферах бизнеса, таких как музыка (Звук), фильмы (ОККО), онлайн торговля (СберМаркет, СберМегаМаркет), медицина (еАптека) и многих других, которые присутствуют в быстро растущей экосистеме. Если ты мечтаешь поучаствовать в создании такой рекомендательной системы, то тебе к нам! Интеллектуальное ядро такой системы - это алгоритмы машинного обучения, которые анализируют по-настоящему большие данные, и в реальном времени рассчитывают предпочтения миллионов конечных пользователей. Работая в нашей команде, ты будешь участвовать в исследовании, разработке, тестировании и внедрении самых передовых алгоритмов классического и глубокого обучения в части рекомендаций. Ты получишь опыт внедрения таких алгоритмов в реальной индустриальной экосистеме, начиненной большими данными и работающей с высокими нагрузками при их обработке. Мы ищем: Middle/Senior Data Scientist в команду единой рекомендательной платформы для компаний экосистемы Сбер. Что предстоит делать: Стек технологий: Что для нас важно: Будет плюсом: Мы предлагаем: 
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/75233876
Middle Data science	Рамакс Интернейшнл	Москва	Договорная	1–3 года	"Привет, меня зовут Алина и я HR Business Partner компании Ramax! Мы более 30 лет занимаемся разработкой и внедрением информационных систем, а в последнее время стараемся разрабатывать и собственные продукты. Мы часто беремся за изучение неизвестных технологий и решений, поэтому у нас не бывает скучно. У нас большой опыт реализации проектов по направлениям BigData, BI-систем, Siebel CRM. Мы очень активно расширяемся не только в новых технологиях, но и в новых отраслевых нишах. Направление ДЦО в Иннодате отвечает за автоматизацию процессов ценообразования в различных отраслях, мы реализовали успешные проекты у таких девелоперов как Интеко, MR Group, ФСК. Наша команда разработала продукт для управления ценообразованием у застройщиков DPrice. Мы занимаемся внедрением данного продукта, обучая новые ML-модели и настраивая уникальные бизнес-правила, а также разрабатываем новые решения в области ценообразования индивидуально под бизнес-процессы заказчика. Вам предстоит проводить эксперименты, разрабатывать и тестировать модели машинного обучения в области динамического ценообразования, общаться с заказчиком по сбору требований, документировать результаты работ, проводить А/В-тесты, строить и проверять гипотезы, поддерживать уже реализованные модели. Задачи: Требованиям к DS Middle на задачи Classic ML: Будет преимуществом: Мы предлагаем работу в молодой и амбициозной команде, с оформлением по ТК РФ и ""белой"" заработной платой, возможность удаленной работы, а также бенефитную программу после прохождения испытательного срока и много других ""плюшек"", о которых ты узнаешь на интервью! Ждем твое резюме! Будем рады видеть тебя в нашей команде!   участие в крупныхIT - проектах Бонусная программана blockchain реальный карьерный
                рост"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/115431563
Senior Data Science	Первая Грузовая Компания	Москва	Договорная	3–6 лет	"Возможность принять участие в развитии масштабных, цифровых продуктов; Высокий уровень дохода (fix+ бонус); Расширенный социальный пакет: ДМС со стоматологией, фитнес-зал в офисе, возможность корп. паркинга, дополнительные дни к отпуску, бонусные программы от наших партнеров; Профессиональное развитие: программы обучения сотрудников, возможности для повышения квалификации и сертификации, еженедельное внутреннее обучение; Комфортный офис в центре Москвы, в шаговой доступности от метро Комсомольская; Гибкий подход к графику работы."	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PostgreSQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Gurobi</span></div></div>"	https://rabota1000.ru/vacancy/108080836
Исследователь/Research Scientist (Computer Science)	Криптонит	Москва	Договорная	3–6 лет	R&D команда «Криптонита» ищет исследователя с научными интересами в Computer Science. Команда отдела перспективных исследований проводит исследования практической направленности в области математики, физики и информационных технологий. Решает актуальные задачи для бизнеса и государства, включая обработку изображений, анализ медицинских данных и реализацию быстрого доступа на платформах Big Data. Задачи: Наши ожидания:   Знание и уверенное владение минимум двумя языками программирования, знание современных Unix-style систем (системы виртуализации, технологии развертывания и сопровождения программ и пр.) и умение в них работать Склонность к исследовательской работе, самостоятельное мышление, интерес к текущему мироустройству и желание его улучшить Будет плюсом: Что мы предлагаем: Здоровье и спорт: Обучение и развитие: Работа в удобном формате: Программа релокации:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Computer Scince</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Математика</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Суперкомпьютерные системы</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Научные исследования</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Физика</span></div></div>"	https://rabota1000.ru/vacancy/25202183
Product Owner (Big Data, ML, видеоаналитика, рекомендательные системы)	Remokate	Москва	Договорная	3–6 лет	Компания - одна из крупнейших в сфере proptech и девелопмента в РФ. Создаем современные городские кварталы в Московском и Северо-западном регионах, а также обслуживаем их и развиваем экосистему клиентских сервисов. Мы в поиске ответственного человека, который умеет собирать требования, ставить ТЗ и договариваться с разными людьми. Наши ожидания: Будет плюсом: Задачи:  Процесс найма: Мы предлагаем:  	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Коммуникабельность</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управление проектами</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Навыки планирования</span></div></div>"	https://rabota1000.ru/vacancy/115359462
Product Owner (внутренний продукт Data Platform)	DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)	Москва	Договорная	3–6 лет	"Про продукт: Наша команда работает над созданием продукта Data Platform. Мы разрабатываем платформу данных, с помощью которой в компании любой может легко и нативно загружать и пользоваться данными. Data Platform решает задачи от построения простых дашбордов до создания и выкатки в продакшн Deep Learning моделей. Наша главная цель - чтобы с помощью нашей платформы, опираясь на данные и аналитику, команды разработки создавали прорывные продукты, внедряли инновации и постоянно развивались. Кто нам нужен? На данный момент мы создали сильную команду (сейчас нас 8 человек). Мы хотим усилить наше направление сильным Product Owner, с которым вместе пойдем к масштабированию нашего продукта. Основная задача - построить процесс и работу между всеми стейкхолдерами и командой дата инженеров. Мы реализовали много функционала, чтобы данные были доступны пользователям и удобны в управлении. В этом году мы фокусируемся на масштабировании тех инструментов, что уже есть совместно с продуктовыми аналитиками и работаем над их улучшениями. Нам удалось закрыть самые базовые сценарии, дальше тебе предстоит подхватить работу над развитием платформы.Чем предстоит заниматься? Доносить ценность продукта до бизнеса, участвовать в продвижении продукта.   Нам по пути, если ты: Будет большим плюсом: Минимальное знание SQL;   Условия"	Полная занятость	удаленная работа	Не указано	https://rabota1000.ru/vacancy/106011855
Аналитик данных (Big Data)	Лента, федеральная розничная сеть	Москва	Договорная	1–3 года	"
            Направления команд:
           В центральном офисе федеральной розничной сети ""ЛЕНТА"" открыта вакансия Data Analyst. ЛЕНТА — третий по выручке ритейлер в России. Мы в департаменте BIG DATA ЛЕНТА строим внутренние продукты, которые зарабатывают деньги и улучшают опыт наших покупателей. Департамент BIG DATA в ЛЕНТЕ растет семимильными шагами, так что у нас есть отличные условия для карьерного и профессионального роста, а также возможность создать коммерческие продукты с высоким value для бизнеса. Аналитики у нас — это полноценные самостоятельные единицы. Сейчас в команду мы ищем аналитика данных, который будет помогать строить внутренние продукты, дашборды и отвечать на самые сложные вопросы в компании и её продуктах. Что нужно делать: Требования: Будет плюсом: Мы можем предложить: Условия:  "	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Power BI</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">DAX</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PowerBI</span></div></div>"	https://rabota1000.ru/vacancy/107764727
Data Analyst/Аналитик данных	Девтек	Москва	100 000 – 150 000 руб.	1–3 года	"Привет, дорогой соискатель, а, возможно, и будущий член нашей команды) В партнерскую сеть DEVTEK, работающей по финансовой вертикали требуется Data Analyst/Аналитик данных. Сейчас мы усиливаем нашу команду и ищем людей, которые смогли бы вместе с нами разрабатывать, развивать и внедрять продукты компании. Именно поэтому нам нужен сильный Data Analyst - он у нас важная часть продуктовой команды - помогает принимать решения на основе данных, генерировать гипотезы и искать точки роста. Что необходимо будет делать: Кого мы ищем? Мы ищем сотрудника, который тащится от работы с цифрами и данными! Нам не подойдет хороший исполнитель - нам, в первую очередь, нужен самостоятельный и инициативный аналитик с горящими глазами, который готов столкнуться с разноплановыми задачами. Что мы ожидаем от кандидата: Какие условия сотрудничества: Все по-честному: оформление по ТК РФ и вытекающие из этого соц. гарантии; Почему стоит работать именно у нас? Отсутствие формальностей, дресс-кода и лишней бюрократии. Мы ходим в офисе в удобной одежде и домашних тапочках, поэтому у нас ты точно почувствуешь себя как дома! Если тебе нравится решать нетривиальные задачи, тебе важно работать над созданием востребованного продукта, решать крупные кейсы, ты именно тот, кого мы ищем!"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/108796144
Chief data officer	Finbridge	Москва	Договорная	более 6 лет	Роль в Компании: Решаемые Задачи: Требования:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/115241559
Director of Data Engineering	Lamoda Tech	Москва	Договорная	более 6 лет	"
Lamoda Tech — IT-компания, в которой работает более 550 человек. Это разработчики, QA-инженеры, аналитики, DevOps, продуктовые менеджеры, архитекторы, дизайнеры, DS- и DE-специалисты, которые создают и развивают digital-продукты для fashion & e-commerce индустрий в России и СНГ.
 
Наши системы помогают быстро и гибко совершенствовать онлайн-платформу, автоматизировать финансовые и операционные процессы, работу двух складов и контакт-центров, фотостудии и службы доставки. Для этого (и не только) мы развиваем продуктовую культуру, используем микросервисную event-driven архитектуру, разрабатываем внутренний Go-инструментарий и создаем data-driven продукт.
 
Мы делаем цифровую революцию в fashion & e-commerce. Ищем тех, кто готов менять индустрию вместе с нами.
 Мы в поиске Директора по инжинирингу данных, который будет управлять департаментом, состоящим из 4 направлений: ? BigData разработка ? DWH разработка ? Системная аналитика DWH ? DevOps DWH Задачи: Про стратегию:  Управляет стратегией данных компании: отвечает за архитектуру модели данных, автоматизацию и поддержку решений на основе платформы данных. Про инженерную культуру:  Отвечает за создание внутри компании профессиональных сообществ инженеров данных, системных аналитиков, DevOps. Про управление:  Определяет оптимальную структуру департамента, формирует и управляет необходимыми ресурсами для реализации стратегии. При изменении стратегических целей, показателей или планов оперативно пересматривает ресурсы и приоритеты; Определяет и распределяет зоны ответственности команд в управлении; Управляет затратами на персонал в части выделенного периметра, участвует в процессе бюджетирования; Осуществляет систематический мониторинг деятельности команды по ключевым показателям, включая проведение регулярных циклов оценки.   Чем предстоит заниматься:  Разработка стратегии управления данными; Разработка технической архитектуры, анализ эффективности используемых инструментов работы с данными; Развитие единой платформы данных; Планирование развития аналитической инфраструктуры и платформы данных; Руководство департаментом: построение системы взаимодействия между командами, постановка и распределение задач командам, контроль их выполнения, обеспечение обратной связи; Эффективное использование технологий и ресурсов для достижения целей бизнеса; Реализация стратегии компании через постановку целей и задач в рамках своего подразделения; Взаимодействие с IT дирекцией, Data Science, Product менеджерами, бизнес стейк-холдерами и другими заказчиками; Мы ожидаем:"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управление по целям</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Оперативное принятие решений</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hadoop</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Big Data</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Business Intelligence Systems</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Quality</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Lake</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">DWH</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управление командой</span></div></div>"	https://rabota1000.ru/vacancy/114166992
Аналитик данных / Supply Data Analyst	Марс	Москва	Договорная	3–6 лет	Мы ищем Аналитика данных/Supply Data Analyst в команду цифровизации производства (Supply Digital) одного из бизнес-сегментов компании. Вы будете: Мы ожидаем: Мы предлагаем:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/99904766
Бизнес-аналитик (Data Governance)	РОСБАНК	Москва	Договорная	1–3 года	РОСБАНК – ЭТО КРУПНЫЙ БАНК, КОТОРЫЙ ВИДИТ ПРОДУКТЫ ГЛАЗАМИ КЛИЕНТОВ. Наша команда занимается развитием информационного сервиса, который предоставляет данные о данных. Мы создаем единые стандарты работы с данными, выстраиваем работу смежных подразделений для сбора полного описания данных, управляем разработкой контролей качества данных, ведем in-house разработку дата каталога. Наш сервис является источником информации для всего банка. Мы работаем по принципам Agile, что предполагает динамичный темп разработки, а также возможность развития и профессионального роста за рамками своей роли. Мы ищем опытного бизнес-аналитика для поддержания инициативы по управлению данными в масштабах всего Банка. Вы будете участвовать в таких проектах, как внедрение каталога данных, бизнес-глоссарий, определение владельцев данных, методы управления данными и т.д. Чем предстоит заниматься: Будет здорово если ты: Мы предлагаем:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Waterfall</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Agile Project Management</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">data governance</span></div></div>"	https://rabota1000.ru/vacancy/99113783
Head of Data Science/Руководитель Data Science	Ак Барс Цифровые Технологии	Казань	Договорная	3–6 лет	"
            Ак Барс Цифровые Технологии или Ak Bars Digital1
            — двигатель технологического развития
            Ак Барс Банка
         Привет! Мы - Ak Bars Digital!Аккредитованная IT-компания, занимаемся разработкой цифровых продуктов для банковской группы ПАО Ак Барс. Сейчас в поиске руководителя Data Science! У нас точно будет мэтч, если ты:• руководил командой data science (от 5 человек);• управлял портфелем моделей и исследований;• доводил инициативы от брифа до релиза;• участвовал в квартальном планировании;• запускал и развивал ml платформы;• внедрял новые методики в работу на постоянной основе. Классно если ты: • понимаешь, как выстроить современный технологический стек для ds и ml;• обладаешь сильными навыками проектного, портфельного/программного менеджмента и умеешь работать в гибких и водопадных методиках;• имеешь опыт в построении и внедрении моделей ds;• знаешь как работать с базами данных. Мы предлагаем:• Официальное трудоустройство/ стабильную заработную плата (2 раза в месяц);• Повышение профессиональной экспертизы (тех/перфоманс ревью);• Оплачиваемые внешние курсы и программы обучения;• Современная техника для работы (отправляем курьером);• Платформа «Понимаю», Skyeng, подарки к событиям, ДМС, скидки на спорт в качестве бенефитов;• Насыщенная корпоративная жизнь с яркими совместными мероприятиями (хакатоны, конференция и собственные митапы Three Amigos Talk);• +4 региональных праздничных дня к отдыху;)У нас есть офис: Казань, Иннополис, Москва, Санкт-Петербург. Хочешь к нам? Откликайся на вакансию. Уверены, скоро увидимся! 
За 6 лет работы мы выводили приложение Ак Барс Банка в топ-3 категории DailyBanking пять раз *, вошли в четверку самых инновационных банков России     
и в четверку самых удобных банков мира по версии клиентов, реализовали десятки решений для клиентов банка и сделали жизнь лучше более 3 млн                 
человек.
             
                Это все возможно только благодаря нашим крутым
                кросс-функциональным agile-командам, работающим по
                фреймворку SAFe и использующим эффективные технологии и
                процессы в рамках DevOps парадигмы.
             
                *2022 - 2 место. 2021 - 2 место.  2020 - 3 место на Android, 2 место на iOS
             
                  2019 - 2 место.    2018 - 2 место на Android, 3 место на iOS
             
                (исследование Mobile Banking Rank от Markswebb за 2018-2022гг.)
            "	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Работа в команде</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Работа с большим объемом информации</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский язык</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B1 — Средний</span></div></div>"	https://rabota1000.ru/vacancy/111074766
Data Analyst	Црм.Лидс	Москва	230 000 – 300 000 руб.	1–3 года	"Привет, дорогой соискатель, а, возможно, и будущий член нашей команды) Мы - команда СRM.LEADS - молодая и прогрессивная компания, занимающаяся лидогенерацией трафика для финансового сектора. У нас есть свой собственный сервис по смс-рассылке и ежемесячно мы шлем десятки миллионов смс. Звучит мощно, не так ли?) Сейчас мы усиливаем нашу команду и ищем людей, которые смогли бы вместе с нами разрабатывать, развивать и внедрять продукты компании. Именно поэтому нам нужен сильный Data Analyst - он у нас важная часть продуктовой команды - помогает принимать решения на основе данных, генерировать гипотезы и искать точки роста. Что необходимо будет делать: Кого мы ищем? Мы ищем сотрудника, который тащится от работы с цифрами и данными! Нам не подойдет хороший исполнитель - нам, в первую очередь, нужен самостоятельный и инициативный аналитик с горящими глазами, который готов столкнуться с разноплановыми задачами. Что мы ожидаем от кандидата: Какие условия сотрудничества: Все по-честному и в белую: оформление по ТК РФ и вытекающие из этого соц. гарантии; Почему стоит работать именно у нас? Отсутствие формальностей, дресс-кода и лишней бюрократии. Мы ходим в офисе в удобной одежде и домашних тапочках, поэтому у нас ты точно почувствуешь себя как дома! Если тебе нравится решать нетривиальные задачи, тебе важно работать над созданием востребованного продукта, решать крупные кейсы, ты именно тот, кого мы ищем!"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/111102892
Data Quality Analyst / Аналитик по качеству данных	X5 Tech	Москва	Договорная	1–3 года	"В связи с активным ростом в Бизнес единицу X5 Технологии нашей компании открыта вакансия Data Quality Analyst / Аналитик по качеству данных. Big Data является одним из приоритетных направлений нашей компании. В 2017 году, в рамках компании создан новый департамент по разработке продуктов на основе Big Data. Наша основная задача сейчас - создать инструменты для более качественного изучения трендов среди наших покупателей. Присоединившись к нашей команде, вы сможете применить свои знания и опыт для решения интересных и сложных задач, которые повлияют на десятки миллионов людей, посещающих нашу сеть ежедневно. Вакансия открыта в команде продукта CVM (Customer Value Management)Наша команда занимается разработкой рекомендательной системы для покупателей на основе больших данных и предиктивной аналитики. Данная система позволит нам автоматизировать сегментацию покупателей и индивидуальные предложения промо акций для них. В нашей команде тебе предстоит: Мы ждем тебя, если ты имеешь: Будет дополнительным плюсом:  Мы предлагаем:   Присоединяйся к одной из самых быстрорастущих цифровых команд России! ООО ""КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5"" представляет бренд Х5 Тech 
        ООО ""КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5"" представляет бренд Х5 Тech
     
                    Нашими решениями пользуются десятки тысяч людей внутри компании и миллионы
                    клиентов вовне
                 
                    Сообщество экспертов:
                    можно общаться и обмениваться опытом на митапах, демо-днях
                    и конференциях
                 
                    Мы поможем развиваться: цифровая академия, лидерский клуб, школы технических специалистов
                 
                    Х5 — это стабильная компания.
                    У нас достаточно ресурсов для того, чтобы сотрудники чувствовали себя комфортно и уверенно
    
                 
                    В X5 много проектов
                    и направлений, между которыми можно перемещаться
                 
                    Гибридный формат работы.
                    В Х5 можно работать
                    в офисе, дома или совмещать
                "	Полная занятость	удаленная работа	Не указано	https://rabota1000.ru/vacancy/94903378
